_nid|_title|_photograph
128|Microcebus mittermeieri profile|Microcebus-mitteremieri_2
130|Microcebus mittermeieri|Mittermeir's-Mouse-Lemur_Microcebus-mittermeieri(clc)cropped
133|Mirza coquereli profile|Mirza-coquereli
135|Mirza coquereli|BEM059(clc)
136|Mirza coquereli|KIR0023(clc)
137|Mirza zazap profile|Mirza-zaza
139|Mirza zaza|2006_04_Madagascar_170(clc)
140|Mirza zaza|Mirza-zaza2
141|Mirza zaza|Mirza-zaza1(clc)
144|Allocebus trichotis profile|Allocebus-trichotis(crop)
146|Allocebus trichotis|Allocebus-trichotis_Hairy-eared-dwarf-lemur(clc)
148|Allocebus trichotis|135a(clc)
149|Allocebus trichotis|135b(clc)
153|Cheirogaleus medius profile|Cheirogaleus-medius
155|Cheirogaleus medius|CmediusSteLuceHAPKE(clc)(crop)
156|Cheirogaleus medius|2008_01_Madagascar_050(clc)(crop)
157|Cheirogaleus sibreei  profile|Cheirogaleous-sibreei
159|Cheirogaleus sibreei|_8(clc)
160|Cheirogaleus sibreei|sibreei-(clc)
161|Cheirogaleus sibreei|Sibreei-by-Marina-Blanco
162|Cheirogaleus sibreei|_5(clc)
163|Cheirogaleus major profile|Freddy-Midongy-du-Sud-1(clc)thumb
